NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other,NTA name,rate,Towers
MN13,Manhattan,76863,10144,13.2,11.7,13.9,62.4,5.3,15.6,2.7,Hudson Yards-Chelsea-Flatiron-Union Square,7.53,1359.0
MN14,Manhattan,62685,13254,21.1,8.4,10.4,69.4,4.2,13.0,3.0,Lincoln Square,3.42,396.0
MN15,Manhattan,49758,6597,13.3,22.0,21.1,52.8,5.5,17.5,3.2,Clinton,6.78,447.0
MN17,Manhattan,27875,4011,14.4,15.1,9.8,61.5,4.5,20.8,3.3,Midtown-Midtown South,0.84,3528.0
MN19,Manhattan,50180,12558,25.0,5.2,4.9,75.1,1.4,16.2,2.5,Turtle Bay-East Midtown,1.73,1446.0
MN20,Manhattan,47775,7393,15.5,13.6,9.2,62.5,4.6,19.8,3.9,Murray Hill-Kips Bay,4.79,855.0
MN21,Manhattan,26928,3283,12.2,6.7,7.7,70.6,3.9,15.4,2.5,Gramercy,1.72,321.0
MN22,Manhattan,42529,4548,10.7,17.4,12.4,64.9,6.7,13.7,2.3,East Village,3.76,81.0
MN23,Manhattan,66258,10866,16.4,8.4,6.0,80.0,2.1,8.5,3.4,West Village,1.77,504.0
MN24,Manhattan,42698,5688,13.3,14.4,6.3,66.2,2.2,21.5,3.8,SoHo-TriBeCa-Civic Center-Little Italy,0.48,1023.0
MN25,Manhattan,45680,3188,7.0,17.0,7.4,66.5,2.4,19.9,3.9,Battery Park City-Lower Manhattan,4.27,1719.0
MN27,Manhattan,44062,9648,21.9,38.8,15.2,18.3,5.3,57.7,3.4,Chinatown,0.78,270.0
MN28,Manhattan,68404,13475,19.7,34.0,39.4,23.3,11.4,23.6,2.4,Lower East Side,2.88,174.0
MN31,Manhattan,81559,14261,17.5,5.8,10.7,70.0,3.2,13.5,2.6,Lenox Hill-Roosevelt Island,3.41,666.0
MN32,Manhattan,78241,13499,17.3,8.7,10.7,75.0,2.5,9.4,2.4,Yorkville,2.57,192.0
MN33,Manhattan,59869,8434,14.1,28.4,44.0,19.7,23.4,11.1,1.8,East Harlem South,6.11,96.0
MN34,Manhattan,62810,7507,12.0,39.5,47.7,7.8,37.5,4.5,2.4,East Harlem North,5.24,93.0
MN35,Manhattan,73052,11398,15.6,22.6,64.3,26.8,4.3,2.7,1.9,Washington Heights North,2.03,18.0
MN36,Manhattan,93663,12460,13.3,30.0,70.8,13.9,10.2,3.6,1.6,Washington Heights South,3.48,141.0
MN40,Manhattan,55649,17102,30.7,4.3,6.7,83.3,0.7,6.5,2.7,Upper East Side-Carnegie Hill,2.12,423.0
MN50,Manhattan,22032,3541,16.1,8.7,8.2,72.2,4.8,11.8,3.1,Stuyvesant Town-Cooper Village,2.57,15.0
MN99,Manhattan,1885,184,9.8,73.0,23.0,18.8,51.7,3.2,3.3,,,82.0
QN01,Queens,43253,5107,11.8,17.6,16.6,1.4,62.1,8.6,11.4,South Jamaica,5.24,
QN02,Queens,27649,4849,17.5,10.2,6.1,1.0,89.6,2.1,1.2,Springfield Gardens North,9.53,
QN03,Queens,22380,3037,13.6,7.3,5.6,3.0,87.1,1.9,2.4,Springfield Gardens South-Brookville,5.36,
QN05,Queens,26117,3284,12.6,7.9,10.3,3.4,81.1,2.2,3.0,Rosedale,5.94,
QN06,Queens,26517,4685,17.7,9.8,15.4,22.3,24.7,32.5,5.2,Jamaica Estates-Holliswood,1.78,
QN07,Queens,21448,2994,14.0,7.3,10.3,2.4,63.8,14.8,8.7,Hollis,3.91,
QN08,Queens,53134,7772,14.6,9.9,5.6,1.3,88.1,2.2,2.8,St. Albans,3.01,
ChaQN10,Queens,27894,5585,20.0,11.2,13.6,75.6,5.8,2.8,2.2,,,
