NTA name,NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other
Starrett City,BK93,Brooklyn,12956,3769,29.1,42.8,18.4,19.2,58.8,2.1,1.5
Erasmus,BK95,Brooklyn,28689,3903,13.6,18.4,8.7,6.4,81.4,1.4,2.1
Rugby-Remsen Village,BK96,Brooklyn,54666,8775,16.1,13.6,8,1.4,88.1,0.8,1.6
,park-cemetery-etc-Brooklyn,BK99,318,432,8,1.9,23.8,51.2,11.8,7.6,5.6
Marble Hill-Inwood,MN01,Manhattan,52922,7057,13.3,24.8,71.5,16.8,7.4,2.6,1.8
Central Harlem North-Polo Grounds,MN03,Manhattan,86117,9137,10.6,26.3,25.8,10.1,58.7,2.1,3.3
Hamilton Heights,MN04,Manhattan,52700,5565,10.6,26.1,48.3,18.2,25.8,3.4,4.2
Manhattanville,MN06,Manhattan,23673,2719,11.5,35.2,52.5,11.1,29.2,5.4,1.7
Morningside Heights,MN09,Manhattan,53094,7812,14.7,17,23.2,44.4,13.8,15.5,3.1
Central Harlem South,MN11,Manhattan,51064,5149,10.1,36.2,20.5,21,49.6,5.7,3.2
Upper West Side,MN12,Manhattan,132455,26884,20.3,11.7,16.6,67.3,5.9,7.3,2.8
Hudson Yards-Chelsea-Flatiron-Union Square,MN13,Manhattan,76863,10144,13.2,11.7,13.9,62.4,5.3,15.6,2.7
Lincoln Square,MN14,Manhattan,62685,13254,21.1,8.4,10.4,69.4,4.2,13,3.0
Clinton,MN15,Manhattan,49758,6597,13.3,22,21.1,52.8,5.5,17.5,3.2
Midtown-Midtown South,MN17,Manhattan,27875,4011,14.4,15.1,9.8,61.5,4.5,20.8,3.3
Turtle Bay-East Midtown,MN19,Manhattan,50180,12558,25,5.2,4.9,75.1,1.4,16.2,2.5
Murray Hill-Kips Bay,MN20,Manhattan,47775,7393,15.5,13.6,9.2,62.5,4.6,19.8,3.9
Gramercy,MN21,Manhattan,26928,3283,12.2,6.7,7.7,70.6,3.9,15.4,2.5
East Village,MN22,Manhattan,42529,4548,10.7,17.4,12.4,64.9,6.7,13.7,2.3
West Village,MN23,Manhattan,66258,10866,16.4,8.4,6,80,2.1,8.5,3.4
SoHo-TriBeCa-Civic Center-Little Italy,MN24,Manhattan,42698,5688,13.3,14.4,6.3,66.2,2.2,21.5,3.8
Battery Park City-Lower Manhattan,MN25,Manhattan,45680,3188,7,17,7.4,66.5,2.4,19.9,3.9
Chinatown,MN27,Manhattan,44062,9648,21.9,38.8,15.2,18.3,5.3,57.7,3.4
Lower East Side,MN28,Manhattan,68404,13475,19.7,34,39.4,23.3,11.4,23.6,2.4
Lenox Hill-Roosevelt Island,MN31,Manhattan,81559,14261,17.5,5.8,10.7,70,3.2,13.5,2.6
Yorkville,MN32,Manhattan,78241,13499,17.3,8.7,10.7,75,2.5,9.4,2.4
East Harlem South,MN33,Manhattan,59869,8434,14.1,28.4,44,19.7,23.4,11.1,1.8
East Harlem North,MN34,Manhattan,62810,7507,12,39.5,47.7,7.8,37.5,4.5,2.4
Washington Heights North,MN35,Manhattan,73052,11398,15.6,22.6,64.3,26.8,4.3,2.7,1.9
Washington Heights South,MN36,Manhattan,93663,12460,13.3,30,70.8,13.9,10.2,3.6,1.6
Upper East Side-Carnegie Hill,MN40,Manhattan,55649,17102,30.7,4.3,6.7,83.3,0.7,6.5,2.7
Stuyvesant Town-Cooper Village,MN50,Manhattan,22032,3541,16.1,8.7,8.2,72.2,4.8,11.8,3.1
park-cemetery-etc-Manhattan,MN99,Manhattan,1885,184,9.8,73,23,18.8,51.7,3.2,3.3
South Jamaica,QN01,Queens,43253,5107,11.8,17.6,16.6,1.4,62.1,8.6,11.4
Springfield Gardens North,QN02,Queens,27649,4849,17.5,10.2,6.1,1,89.6,2.1,1.2
