id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
142,true,true,true,40.83577605,-73.84250006,18586.8,"1315 Seabury Ave, Bronx, NY 10461, USA",0.47
143,true,true,true,40.83588163,-73.86208701,20231.5,"1409 Wood Rd, Bronx, NY 10462, USA",0.58
144,true,true,true,40.83574978,-73.84249991,18587.0,"1315 Seabury Ave, Bronx, NY 10461, USA",0.64
145,true,true,true,40.83668011,-73.85461831,19598.0,"2115 Starling Ave, Bronx, NY 10462, USA",0.35
146,true,true,true,40.83624224,-73.92019277,25114.1,"1225-1257 Gerard Ave, Bronx, NY 10452, USA",0.66
147,true,true,true,40.83631494,-73.92014954,25110.1,"1225-1257 Gerard Ave, Bronx, NY 10452, USA",0.80
148,true,true,true,40.83670588,-73.85462356,19598.2,"2115 Starling Ave, Bronx, NY 10462, USA",0.54
149,true,true,true,40.83666847,-73.85461625,19597.9,"2115 Starling Ave, Bronx, NY 10462, USA",0.66
150,false,true,true,40.83775989,-73.81706734,16434.5,"1208 Stadium Ave, Bronx, NY 10465, USA",0.25
151,true,true,true,40.83796695,-73.84748593,18989.5,"2417 Tratman Ave, Bronx, NY 10461, USA",0.82
152,true,true,true,40.83800256,-73.84744560,18985.9,"2417 Tratman Ave, Bronx, NY 10461, USA",0.85
153,true,true,true,40.83865833,-73.91923627,25020.8,"1325 Jerome Ave, Bronx, NY 10452, USA",0.77
154,true,true,true,40.83968862,-73.91980963,25064.4,"1366 Cromwell Ave, Bronx, NY 10452, USA",0.40
155,true,true,true,40.83863545,-73.91925505,25022.5,"1325 Jerome Ave, Bronx, NY 10452, USA",0.80
156,true,true,true,40.83951418,-73.90139764,23515.8,"1574-1598 Bathgate Ave, Bronx, NY 10457, USA",0.50
157,true,true,true,40.83910280,-73.87985477,21705.2,"1044-1068 E Tremont Ave, Bronx, NY 10460, USA",0.69
158,true,true,true,40.84155669,-73.89145057,22670.2,"1796 Prospect Ave, Bronx, NY 10457, USA",0.31
