id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
101,true,true,true,40.70413535,-74.00755471,1698.6,"1 Financial Square, New York, NY 10005, USA",0.85
102,true,true,true,40.70551260,-74.00686062,1578.2,"795 Pine St, New York, NY 10005, USA",0.38
103,true,true,true,40.70416605,-74.00758941,1699.6,"1 Financial Square, New York, NY 10005, USA",0.86
104,true,true,true,40.70417177,-74.00784145,1718.1,"81 Front St, New York, NY 10005, USA",0.86
105,true,true,true,40.70419900,-74.00787347,1719.1,"81 Front St, New York, NY 10005, USA",0.86
106,true,true,true,40.70430643,-74.00827219,1743.6,"77 Water St, New York, NY 10005, USA",0.82
107,true,true,true,40.70529059,-74.01587091,2299.9,"7 Washington St, New York, NY 10004, USA",0.50
108,true,true,true,40.70574250,-74.00189570,1195.1,"89 S St Viaduct, PECK SLIP, NY 10038, USA",0.33
109,true,true,true,40.70434893,-74.00832003,1745.1,"81 Water St, Brooklyn, NY 11201, USA",0.84
110,true,true,true,40.70473729,-74.00765586,1675.7,"108 Front St, New York, NY 10038, USA",0.72
111,true,true,true,40.70582110,-74.01563849,2264.4,"1 Western Un Int'l Plz, New York, NY 10006, USA",0.35
112,true,true,true,40.70445436,-74.00668180,1616.9,"121 Wall St, New York, NY 10043, USA",0.82
113,true,true,true,40.70451809,-74.00675193,1618.8,"117 Wall St, New York, NY 10005, USA",0.80
114,true,true,true,40.70476389,-74.00768682,1676.7,"108 Front St, New York, NY 10038, USA",0.74
115,true,true,true,40.70465825,-74.01299184,2092.8,"4-12 Broadway, New York, NY 10004, USA",0.81
116,true,true,true,40.70451319,-74.01199804,2020.6,"82a Broad St, New York, NY 10004, USA",0.86
117,true,true,true,40.70456980,-74.01199636,2018.1,"76 Broad St, New York, NY 10004, USA",0.84
118,true,true,true,40.70465217,-74.01099909,1936.8,"14-26 S William St, New York, NY 10004, USA",0.81
119,true,true,true,40.70469255,-74.01299763,2091.9,"4-12 Broadway, New York, NY 10004, USA",0.81
120,true,true,true,40.70468979,-74.01102144,1936.9,"14-26 S William St, New York, NY 10004, USA",0.81
121,true,true,true,40.70462321,-74.01298453,2093.6,"4-12 Broadway, New York, NY 10004, USA",0.85
122,true,true,true,40.70479177,-74.01301104,2089.1,"4-12 Broadway, New York, NY 10004, USA",0.82
123,true,true,true,40.70472685,-74.01300004,2090.7,"4-12 Broadway, New York, NY 10004, USA",0.86
124,true,true,true,40.70475922,-74.01300454,2089.8,"4-12 Broadway, New York, NY 10004, USA",0.86
125,true,true,true,40.70482407,-74.01301878,2088.4,"10 Beaver St, New York, NY 10004, USA",0.84
126,true,true,true,40.70469644,-74.00894800,1776.2,"110 Pearl St, New York, NY 10005, USA",0.87
127,true,true,true,40.70472504,-74.00897646,1777.1,"110 Pearl St, New York, NY 10005, USA",0.86
128,false,true,true,40.70637315,-74.01701788,2361.5,"30 West St, New York, NY 10004, USA",0.30
129,true,true,true,40.70532716,-73.98559876,758.0,"64 John St, Brooklyn, NY 11201, USA",0.63
130,true,true,true,40.70485948,-74.01302154,2087.3,"10 Beaver St, New York, NY 10004, USA",0.85
131,true,true,true,40.70578800,-74.00468340,1399.0,"163 Front St, New York, NY 10038, United States",0.51
132,true,true,true,40.70521045,-74.00616092,1539.2,"129 Front St, New York, NY 10005, USA",0.75
133,false,true,true,40.70660017,-74.00848251,1661.6,"",0.25
134,false,true,true,40.70577328,-74.00470409,1401.2,"163 Front St, New York, NY 10038, United States",0.56
135,true,true,true,40.70551081,-74.00686225,1578.4,"795 Pine St, New York, NY 10005, USA",0.67
136,true,true,true,40.70534167,-74.01455546,2192.2,"11 Greenwich St, New York, NY 10006, USA",0.76
137,true,true,true,40.70517674,-74.00611844,1537.7,"17 Pine St, New York, NY 10005, USA",0.80
138,true,true,true,40.70622536,-74.01249726,1997.2,"50 Canyon of Heroes, New York, NY 10004, USA",0.44
139,true,true,true,40.70580198,-74.00466170,1396.6,"163 Front St, New York, NY 10038, United States",0.58
140,true,true,true,40.70567814,-74.00742225,1614.3,"160-162 Pearl St, New York, NY 10005, USA",0.64
141,true,true,true,40.70533380,-74.01575096,2288.8,"7 Washington St, New York, NY 10004, USA",0.78
142,true,true,true,40.70519681,-74.00935223,1785.2,"64 Beaver St, New York, NY 10004, USA",0.83
